Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
8,21,7,1174.0,AA,ATL,DFW,732.0,0
4,20,3,948.0,US,PIT,MCO,834.0,0
9,2,5,862.0,XE,RDU,CLE,416.0,0
11,25,6,615.0,OO,DEN,MEM,872.0,0
10,7,6,1108.0,WN,MDW,OMA,423.0,1
8,3,4,1158.0,NW,MEM,MCO,683.0,0
1,27,4,474.0,DL,PBI,LGA,1035.0,0
4,29,6,395.0,OH,MSP,CVG,596.0,0
7,28,5,455.0,AA,ONT,DFW,1189.0,0
6,20,2,1229.0,OO,DEN,PSC,853.0,0
5,21,6,1056.0,DL,BDL,CVG,661.0,0
3,5,7,725.0,WN,PHX,STL,1262.0,0
10,6,4,1284.0,AS,LAS,SEA,866.0,0
8,20,6,457.0,AA,DFW,SJC,1438.0,0
11,10,4,887.0,UA,DEN,SJC,948.0,0
9,20,2,1002.0,MQ,DSM,ORD,299.0,0
9,19,2,1081.0,CO,CMH,IAH,986.0,0
7,26,2,380.0,DL,ORF,ATL,516.0,0
10,14,5,1024.0,OO,SLC,SEA,689.0,1
10,5,4,725.0,US,PHX,CMH,1671.0,0
8,22,2,921.0,AA,CLT,DFW,936.0,0
6,21,3,919.0,EV,ATL,ILM,377.0,1
11,26,6,857.0,DL,GSO,ATL,306.0,0
11,9,3,558.0,DH,IAD,CMH,299.0,0
12,31,6,1117.0,DL,ATL,MSP,906.0,0
4,4,1,395.0,WN,SMF,PHX,647.0,0
7,3,7,830.0,AA,FLL,LGA,1076.0,0
4,16,7,755.0,WN,DAL,AUS,189.0,0
5,31,3,913.0,MQ,ORD,SYR,607.0,0
4,18,1,379.0,AA,ORD,LAX,1745.0,0
8,30,3,370.0,YV,ITO,HNL,216.0,0
5,9,1,807.0,AA,DFW,ORF,1213.0,0
1,20,5,690.0,DL,ORD,CVG,264.0,0
12,3,7,1013.0,EV,ATL,MYR,317.0,1
10,1,6,894.0,DL,SLC,PDX,630.0,0
3,24,4,1383.0,US,CLT,CHS,168.0,1
5,6,5,1048.0,WN,SAN,SMF,480.0,1
5,5,4,410.0,EV,ROA,ATL,357.0,0
1,28,5,1246.0,MQ,LGA,DTW,501.0,0
7,9,6,467.0,MQ,ORD,MEM,491.0,0
9,20,2,427.0,MQ,SFO,SNA,372.0,0
7,15,5,704.0,F9,DEN,PHL,1557.0,0
3,17,4,503.0,DH,GSP,IAD,383.0,0
4,18,1,720.0,WN,SEA,PHX,1107.0,0
9,8,5,489.0,DL,DAB,ATL,366.0,0
11,10,4,1105.0,WN,SJC,LAX,308.0,0
3,10,4,462.0,UA,DFW,ORD,802.0,0
4,12,2,1153.0,MQ,LIT,DFW,304.0,0
10,3,2,436.0,UA,LAX,SEA,954.0,0
10,20,5,1392.0,AQ,OAK,LAS,407.0,1
9,9,6,920.0,YV,SEA,PHX,1107.0,1
2,21,2,355.0,YV,COS,PHX,551.0,0
7,24,7,650.0,OH,OKC,CVG,756.0,0
8,14,1,919.0,TZ,PHX,OGG,2845.0,0
2,15,2,927.0,MQ,DFW,ABI,158.0,0
3,17,4,351.0,UA,GRR,ORD,137.0,0
7,21,4,845.0,HP,SJC,LAS,386.0,0
12,1,4,1134.0,B6,JFK,PHX,2153.0,0
9,5,2,1111.0,FL,ATL,MSP,906.0,1
6,7,3,620.0,WN,BOI,SLC,291.0,0
10,28,5,418.0,CO,ORD,EWR,719.0,0
1,18,3,1110.0,DL,ATL,MEM,332.0,0
4,19,2,919.0,DL,MCI,ATL,692.0,0
1,27,5,875.0,WN,BWI,PVD,328.0,0
3,26,6,790.0,AA,BHM,DFW,597.0,0
4,29,5,1168.0,MQ,CRP,DFW,354.0,0
10,3,2,507.0,F9,DEN,SFO,967.0,0
7,22,5,1195.0,OH,BOS,RDU,612.0,0
7,25,2,1043.0,WN,DEN,MDW,895.0,0
9,4,7,1005.0,WN,SAT,DAL,248.0,0
4,8,6,391.0,XE,PHL,CLE,363.0,0
6,5,7,876.0,US,ORF,PHL,211.0,0
